"Well Name","Producing Time (days)","Oil Rate (bbl/day)"
"Christie Grant #11H",0,44.4159396412806
"Christie Grant #11H",1,38.4359742246944
"Christie Grant #11H",2,52.7046657213229
"Christie Grant #11H",3,51.8881363261411
"Christie Grant #11H",4,51.384020528502
"Christie Grant #11H",5,58.3581373360339
"Christie Grant #11H",6,58.8009534155299
"Christie Grant #11H",7,68.0223113086722
"Christie Grant #11H",8,71.0535708434605
"Christie Grant #11H",9,74.3777277356409
"Christie Grant #11H",10,73.7508305547061
"Christie Grant #11H",11,78.2924820544211
"Christie Grant #11H",12,80.4871500754937
"Christie Grant #11H",13,76.9643369981529
"Christie Grant #11H",14,86.1705505715317
"Christie Grant #11H",15,86.9993075000098
"Christie Grant #11H",16,85.0138577773811
"Christie Grant #11H",17,79.1152627526576
"Christie Grant #11H",18,85.1468670185398
"Christie Grant #11H",19,100.007061922859
"Christie Grant #11H",20,95.9738552204895
"Christie Grant #11H",21,103.518110245849
"Christie Grant #11H",22,99.2813457774059
"Christie Grant #11H",23,110.17008497421
"Christie Grant #11H",24,110.301172911025
"Christie Grant #11H",25,118.429474561287
"Christie Grant #11H",26,115.230520077004
"Christie Grant #11H",27,117.208586007856
"Christie Grant #11H",28,115.799043404319
"Christie Grant #11H",29,121.538654310446
"Christie Grant #11H",30,117.23488450211
"Christie Grant #11H",31,131.4958826869
"Christie Grant #11H",32,134.563441996577
"Christie Grant #11H",33,130.249205245175
"Christie Grant #11H",34,130.750837974219
"Christie Grant #11H",35,139.366851660493
"Christie Grant #11H",36,132.742514237058
"Christie Grant #11H",37,145.857016449942
"Christie Grant #11H",38,146.643516909081
"Christie Grant #11H",39,145.836738652499
"Christie Grant #11H",40,143.802123076757
"Christie Grant #11H",41,155.047670041349
"Christie Grant #11H",42,159.564029000983
"Christie Grant #11H",43,166.820672629503
"Christie Grant #11H",44,166.228102510568
"Christie Grant #11H",45,168.9963625759
"Christie Grant #11H",46,161.276311182805
"Christie Grant #11H",47,173.692341660597
"Christie Grant #11H",48,176.899004125174
"Christie Grant #11H",49,174.924726163971
"Christie Grant #11H",50,184.017605196082
"Christie Grant #11H",51,188.953157848531
"Christie Grant #11H",52,191.214567361918
"Christie Grant #11H",53,176.84705645636
"Christie Grant #11H",54,180.589986266391
"Christie Grant #11H",55,183.790323219662
"Christie Grant #11H",56,181.585408219405
"Christie Grant #11H",57,187.67964866674
"Christie Grant #11H",58,188.298454956389
"Christie Grant #11H",59,185.162178673896
"Christie Grant #11H",60,190.908660552941
"Christie Grant #11H",61,197.29765584121
"Christie Grant #11H",62,189.733754835606
"Christie Grant #11H",63,185.068434076546
"Christie Grant #11H",64,185.576554631087
"Christie Grant #11H",65,178.779840598224
"Christie Grant #11H",66,180.038194391567
"Christie Grant #11H",67,189.848737527804
"Christie Grant #11H",68,184.628577914807
"Christie Grant #11H",69,181.457908039383
"Christie Grant #11H",70,183.568008548126
"Christie Grant #11H",71,181.722765200188
"Christie Grant #11H",72,187.915037076783
"Christie Grant #11H",73,184.4276480755
"Christie Grant #11H",74,181.319825091047
"Christie Grant #11H",75,184.978382902206
"Christie Grant #11H",76,173.448272326621
"Christie Grant #11H",77,182.744725062979
"Christie Grant #11H",78,186.236601242814
"Christie Grant #11H",79,178.65159648754
"Christie Grant #11H",80,177.261201967067
"Christie Grant #11H",81,180.796511815818
"Christie Grant #11H",82,177.578935678886
"Christie Grant #11H",83,183.993217903859
"Christie Grant #11H",84,178.991058110456
"Christie Grant #11H",85,175.447703054475
"Christie Grant #11H",86,176.0817249227
"Christie Grant #11H",87,177.517401902301
"Christie Grant #11H",88,180.739380874513
"Christie Grant #11H",89,181.621934227087
"Christie Grant #11H",90,177.105478659688
"Christie Grant #11H",91,172.226097249095
"Christie Grant #11H",92,163.853233995131
"Christie Grant #11H",93,174.798441998811
"Christie Grant #11H",94,174.62204649006
"Christie Grant #11H",95,171.197568927325
"Christie Grant #11H",96,168.151439773573
"Christie Grant #11H",97,177.246850345854
"Christie Grant #11H",98,180.698108238256
"Christie Grant #11H",99,168.125478788847
"Christie Grant #11H",100,169.919232448455
"Christie Grant #11H",101,172.241066692943
"Christie Grant #11H",102,170.193478137986
"Christie Grant #11H",103,174.225820542497
"Christie Grant #11H",104,167.723756873314
"Christie Grant #11H",105,177.240068329895
"Christie Grant #11H",106,167.067491071183
"Christie Grant #11H",107,167.433525875109
"Christie Grant #11H",108,174.181001789819
"Christie Grant #11H",109,170.034987294699
"Christie Grant #11H",110,170.539566684003
"Christie Grant #11H",111,162.184768227051
"Christie Grant #11H",112,164.032938987209
"Christie Grant #11H",113,166.982911175672
"Christie Grant #11H",114,175.630219146153
"Christie Grant #11H",115,155.991720311145
"Christie Grant #11H",116,170.10963290918
"Christie Grant #11H",117,156.644596472053
"Christie Grant #11H",118,170.125204262622
"Christie Grant #11H",119,167.482460325896
"Christie Grant #11H",120,166.982652145352
"Christie Grant #11H",121,168.432629993903
"Christie Grant #11H",122,156.952632819309
"Christie Grant #11H",123,159.353934659335
"Christie Grant #11H",124,155.637831315805
"Christie Grant #11H",125,162.688771364497
"Christie Grant #11H",126,161.495411183789
"Christie Grant #11H",127,161.144899283116
